iver|good|mellan|abstrakt men känt
hagel|good|enkelt|väderfenomen barn känner
högmod|good|svart|litterärt men känt via ordspråk
soluppgång|good|enkelt|konkret vardagsfenomen
ikon|good|mellan|flertydigt men gissbart
mikroskop|good|enkelt|känt skolföremål
bugg|good|mellan|känt dataord, även dansen
grina|bad|cut|dialektkrock: gråta eller skratta
brandvägg|good|mellan|känt IT-begrepp
brännvin|good|mellan|klassiskt svenskt ord
overall|good|enkelt|vardagsplagg barn bär
sylta|good|svart|julmat vuxna känner
stövel|good|enkelt|vardagsplagg
usb-minne|good|mellan|konkret teknikpryl
tofu|good|mellan|känd matvara
trötthet|good|mellan|abstrakt substantivering av trött
malt|good|svart|ölkunskap, belästa vuxna klarar
katalog|good|mellan|vardagligt begrepp
mandel|good|enkelt|vardagsmat, julgröten
marmelad|good|enkelt|vardaglig matvara
midsommar|good|enkelt|högtid alla känner
spårning|good|mellan|känt teknikbegrepp
fyllning|good|mellan|vardagligt, beskrivbart
trådlös|good|mellan|känt teknikord
karamell|good|enkelt|godis barn känner
utstrålning|good|mellan|vanligt abstrakt begrepp
ingefära|good|mellan|känd krydda
fotled|good|enkelt|välkänd kroppsdel
scotch|bad|cut|anglicism, gissas bara som whisky
admiral|good|mellan|känd militärtitel
löpning|good|enkelt|vardaglig motionsform
dill|good|enkelt|vardagskrydda, kräftskivan
släp|good|enkelt|konkret fordonstillbehör
klättring|good|enkelt|aktivitet barn känner
enkelhet|good|mellan|abstrakt egenskap
neurolog|good|mellan|läkare, hjärnledtråd fungerar
kastrull|good|enkelt|vardagligt köksföremål
geolog|good|mellan|känt yrke, beskrivbart
sake|good|svart|japanskt risvin, beläst vuxen
rivalitet|good|mellan|abstrakt men beskrivbart
räka|good|enkelt|vardaglig matvara
barberare|good|mellan|känt yrke
absint|good|svart|känd sprit med kulturhistoria
grönkål|good|mellan|känd grönsak
flik|good|mellan|vardagligt, webbläsarfliken
äkthet|good|mellan|abstrakt egenskap
elakhet|good|mellan|abstrakt egenskap
jäst|good|enkelt|vardaglig bakvara
biolog|good|mellan|känt yrke
tangentbord|good|enkelt|vardagligt datorföremål
cognac|bad|cut|svensk stavning är konjak
florist|good|mellan|känt yrke
underbyxor|good|enkelt|vardagsplagg, plural är naturlig
saxofon|good|enkelt|välkänt instrument
notarie|good|svart|juristterm belästa vuxna känner
uppladdning|good|mellan|vardagligt IT-begrepp
falskhet|good|mellan|abstrakt egenskap
modem|good|mellan|känd teknikpryl
risotto|good|mellan|känd maträtt
arbetsledare|good|mellan|känt yrkesbegrepp
valnöt|good|enkelt|vardaglig matvara
bågskytte|good|mellan|känd sport, pilbågsledtråd
kil|good|mellan|konkret men mindre vardagligt
kajak|good|enkelt|känd farkost
cynism|good|svart|abstrakt, kräver viss beläsenhet
basilika|good|mellan|känd krydda, dubbeltydighet ofarlig
kylning|good|mellan|beskrivbart vardagsbegrepp
lärobok|good|enkelt|konkret skolföremål
persilja|good|mellan|känd krydda
likör|good|mellan|känd dryckestyp
skanner|good|mellan|känd kontorspryl
oregano|good|mellan|känd pizzakrydda
kokos|good|enkelt|känd smak, chokladbollen
eufori|good|svart|starkt känsloord, vuxenord
imam|good|mellan|känd religiös ledare
mynta|good|mellan|känd krydda
laganda|good|mellan|vanligt sportbegrepp
koriander|good|mellan|känd krydda
linjal|good|enkelt|skolföremål barn känner
gardin|good|enkelt|vardagligt hemföremål
egoism|good|mellan|känt abstrakt begrepp
diskett|good|mellan|vuxna minns, spara-ikonen
vermouth|good|svart|dryckestyp belästa vuxna känner
kräfta|good|enkelt|kräftskivan, barn känner
meteorolog|good|mellan|känd via väderprognosen
humle|good|svart|ölingrediens vuxna känner
aperitif|good|svart|vuxenord, bra ledtråd fungerar
stärkelse|good|mellan|känt från matlagning och skola
ouzo|good|svart|grekisk sprit, beläst vuxen
akrobat|good|enkelt|cirkusord barn känner
saffran|good|enkelt|lussekatter, barn känner
glögg|good|enkelt|juldryck alla känner
buffert|good|mellan|vanligt ekonomiord
typsnitt|good|mellan|känt designbegrepp
grillning|good|enkelt|vardagsaktivitet barn känner
nejlika|good|svart|blomma och krydda, vuxenord
urmakare|good|mellan|klockreparatör, lätt att ledtråda
lagring|good|mellan|vardagligt teknikbegrepp
timjan|good|mellan|känd krydda
vemod|good|svart|litterärt men känt känsloord
podcast|good|mellan|vardagligt medieord
cykling|good|enkelt|vardagsaktivitet
logotyp|good|mellan|känt begrepp, beskrivbart
nedladdning|good|mellan|vardagligt IT-begrepp
bredband|good|mellan|vardagligt teknikord
formgivare|good|mellan|känt yrke
grossist|good|mellan|beskrivbart handelsbegrepp
emoji|good|enkelt|barn känner mobilsymbolerna
mousse|good|mellan|känd dessert och frisyrprodukt
streaming|good|mellan|etablerat lånord, Netflix-ledtråd
router|good|mellan|känd hemelektronik
konditor|good|mellan|känt yrke, tårtledtråd
skräppost|good|mellan|vardagligt mejlbegrepp
adapter|good|mellan|känd teknikpryl
sojasås|good|enkelt|vardaglig sushivara
wasabi|good|mellan|känd sushikrydda
solist|good|mellan|känt musikbegrepp
muskotnöt|good|svart|krydda matlagande vuxna känner
fänkål|good|mellan|känd grönsak och krydda
grappa|good|svart|italiensk sprit, beläst vuxen
upphovsrätt|good|mellan|känt samhällsbegrepp
